TrainingCenterDatabase,xsi:schemaLocation,xmlns:ns5,xmlns:ns3,xmlns:ns2,xmlns,xmlns:xsi,xmlns:ns4,Activities,Activity,Sport,Id,Lap,StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageHeartRateBpm,Value,MaximumHeartRateBpm,Value,Intensity,TriggerMethod,Track,Trackpoint,Time,Position,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,DistanceMeters,HeartRateBpm,Value,Extensions,ns3:TPX,ns3:Speed,ns3:RunCadence,ns3:Watts,Extensions,ns3:LX,ns3:AvgSpeed,ns3:AvgRunCadence,ns3:MaxRunCadence,ns3:AvgWatts,ns3:MaxWatts,Creator,xsi:type,Name,UnitId,ProductID,Version,VersionMajor,VersionMinor,BuildMajor,BuildMinor,Author,xsi:type,Name,Build,Version,VersionMajor,VersionMinor,BuildMajor,BuildMinor,LangID,PartNumber
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:40:50.000Z,,43.7000881,-79.39680305,161.1999969,63.47999954,,108,,,2.789999962,81,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:40:51.000Z,,43.70005743,-79.39678612,161.1999969,67.30000305,,109,,,2.789999962,81,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:40:52.000Z,,43.70002859,-79.39676827,161.1999969,70.93000031,,110,,,2.809000015,82,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:40:53.000Z,,43.69999724,-79.39673784,161.1999969,75.01000214,,110,,,2.921000004,82,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:40:54.000Z,,43.69996615,-79.39672049,161.1999969,79.44000244,,110,,,2.976000071,82,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:40:55.000Z,,43.69993723,-79.39671094,161.1999969,82.70999908,,111,,,3.051000118,83,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:40:56.000Z,,43.69990974,-79.39669593,161.1999969,86.27999878,,111,,,3.256000042,83,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:40:57.000Z,,43.69988593,-79.39668965,161.1999969,89.18000031,,112,,,3.368000031,83,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:40:58.000Z,,43.69985517,-79.39667707,161.1999969,92.08999634,,112,,,3.256000042,82,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:40:59.000Z,,43.69982977,-79.39667322,161.1999969,95.01999664,,113,,,3.107000113,82,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:00.000Z,,43.69980278,-79.39666919,161.1999969,98.12000275,,113,,,3.078999996,82,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:01.000Z,,43.69977068,-79.39665612,161,101.6600037,,114,,,3.078999996,83,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:02.000Z,,43.6997452,-79.39665587,161,104.7900009,,114,,,3.144000053,83,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:03.000Z,,43.69971469,-79.39664925,161,107.9599991,,114,,,3.227999926,83,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:04.000Z,,43.69968561,-79.39665201,161,111.0299988,,115,,,3.227999926,83,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:05.000Z,,43.69965727,-79.39664958,161,114.1500015,,115,,,3.219000101,83,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:06.000Z,,43.6996297,-79.39664455,161,116.6299973,,115,,,3.190999985,82,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:07.000Z,,43.69960221,-79.39664179,160.8000031,119.7600021,,115,,,3.181999922,82,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:08.000Z,,43.69957513,-79.39664363,160.8000031,122.2900009,,116,,,3.09800005,82,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:09.000Z,,43.69954454,-79.39664246,160.8000031,125.5699997,,116,,,3.059999943,82,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:10.000Z,,43.6995173,-79.39664598,160.8000031,128.1000061,,117,,,3.078999996,82,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:11.000Z,,43.69948938,-79.39664598,160.8000031,130.8300018,,117,,,3.032000065,82,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:12.000Z,,43.69946097,-79.39665251,160.8000031,133.9299927,,117,,,3.032000065,82,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:13.000Z,,43.69943691,-79.39665352,160.8000031,136.8699951,,117,,,3.032000065,82,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:14.000Z,,43.69940179,-79.39665738,160.8000031,140.8200073,,117,,,3.032000065,82,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:15.000Z,,43.69935754,-79.39666224,160.8000031,146.9299927,,117,,,3.042000055,82,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:16.000Z,,43.69931873,-79.39666308,160.8000031,151.6900024,,118,,,3.115999937,82,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:17.000Z,,43.69927783,-79.39666551,160.8000031,156.3899994,,118,,,3.125999928,83,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:18.000Z,,43.69924949,-79.39665805,160.8000031,160.1300049,,118,,,3.13499999,83,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:19.000Z,,43.69921454,-79.39665922,160.8000031,163.9299927,,118,,,3.154000044,83,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:20.000Z,,43.6991899,-79.39665042,160.6000061,167.1999969,,119,,,3.190999985,83,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
